Time [s],SW,BUZ
10.107941000,0,0
10.108114063,0,1
10.108248938,0,0
10.108422063,0,1
10.108556937,0,0
10.108730062,0,1
10.108864937,0,0
10.109038000,0,1
10.109172938,0,0
10.109346000,0,1
10.109480875,0,0
10.109654000,0,1
10.109788875,0,0
10.109962000,0,1
10.110096875,0,0
10.110269938,0,1
10.110404875,0,0
10.110577938,0,1
10.110712812,0,0
10.110885938,0,1
10.111020812,0,0
10.111193937,0,1
10.111328813,0,0
10.111501875,0,1
10.111636813,0,0
10.111809875,0,1
10.111944750,0,0
10.112117875,0,1
10.112252750,0,0
10.112425875,0,1
10.112560812,0,0
10.112733875,0,1
10.112868750,0,0
10.113041812,0,1
10.113176750,0,0
10.113349812,0,1
10.113484687,0,0
10.113657812,0,1
10.113792688,0,0
10.113965813,0,1
10.114100688,0,0
10.114273750,0,1
10.114408687,0,0
10.114581750,0,1
10.114716687,0,0
10.114889750,0,1
10.115024625,0,0
10.115197750,0,1
10.115332625,0,0
10.115505688,0,1
10.115640625,0,0
10.115813687,0,1
10.115948562,0,0
10.116121687,0,1
10.116256563,0,0
10.116429688,0,1
10.116564563,0,0
10.116737625,0,1
10.116872562,0,0
10.117045625,0,1
10.117180562,0,0
10.117353625,0,1
10.117488500,0,0
10.117661625,0,1
10.117796500,0,0
10.117969563,0,1
10.118104500,0,0
10.118277562,0,1
10.118412500,0,0
10.118585562,0,1
10.118720438,0,0
10.118893563,0,1
10.119028438,0,0
10.119201500,0,1
10.119336437,0,0
10.119509500,0,1
10.119644437,0,0
10.119817500,0,1
10.119952375,0,0
10.120125500,0,1
10.120260312,0,0
10.120260438,0,1
10.120260500,0,0
10.120433500,0,1
10.120568375,0,0
10.120741437,0,1
10.120876375,0,0
10.121049437,0,1
10.121184313,0,0
10.121357438,0,1
10.121492312,0,0
10.121665438,0,1
10.121800312,0,0
10.121973375,0,1
10.122108312,0,0
10.122281375,0,1
10.122416250,0,0
10.122589375,0,1
10.122724250,0,0
10.122897375,0,1
10.123032250,0,0
10.123205312,0,1
10.123340250,0,0
10.123513313,0,1
10.123648250,0,0
10.123821313,0,1
10.123956187,0,0
10.124129312,0,1
10.124264187,0,0
10.124437250,0,1
10.124572188,0,0
10.124745250,0,1
10.124880188,0,0
10.125053250,0,1
10.125188125,0,0
10.125361250,0,1
10.125496125,0,0
10.125669187,0,1
10.125804125,0,0
10.125977188,0,1
10.126112125,0,0
10.126285188,0,1
10.126420062,0,0
10.126593187,0,1
10.126728062,0,0
10.126901187,0,1
10.127036063,0,0
10.127209125,0,1
10.127344063,0,0
10.127517125,0,1
10.127652000,0,0
10.127825125,0,1
10.127960000,0,0
10.128133125,0,1
10.128268000,0,0
10.128441063,0,1
10.128576000,0,0
10.128749063,0,1
10.128883937,0,0
10.129057062,0,1
10.129191937,0,0
10.129365062,0,1
10.129499938,0,0
10.129673000,0,1
10.129807938,0,0
10.129981000,0,1
10.130115937,0,0
10.130289000,0,1
10.130423875,0,0
10.130597000,0,1
10.130731875,0,0
10.130904938,0,1
10.131039875,0,0
10.131212938,0,1
10.131347875,0,0
10.131520937,0,1
10.131655813,0,0
10.131828937,0,1
10.131963813,0,0
10.132136875,0,1
10.132271875,0,0
10.132444875,0,1
10.132579812,0,0
10.132752875,0,1
10.132887750,0,0
10.133060875,0,1
10.133195750,0,0
10.133368875,0,1
10.133503750,0,0
10.133676812,0,1
10.133811750,0,0
10.133984812,0,1
10.134119688,0,0
10.134292813,0,1
10.134427688,0,0
10.134600813,0,1
10.134735687,0,0
10.134908750,0,1
10.135043687,0,0
10.135216750,0,1
10.135351625,0,0
10.135524750,0,1
10.135659625,0,0
10.135832750,0,1
10.135967625,0,0
10.135987000,1,0
10.136140687,1,1
10.136275625,1,0
10.136448687,1,1
10.136583625,1,0
10.136756688,1,1
10.136891625,1,0
10.137064688,1,1
10.137199562,1,0
10.137372625,1,1
10.137507562,1,0
10.137680625,1,1
10.137815563,1,0
10.137988625,1,1
10.138123563,1,0
10.138296625,1,1
10.138431500,1,0
10.138604562,1,1
10.138739500,1,0
10.138912562,1,1
10.139047500,1,0
10.139220563,1,1
10.139355500,1,0
10.139528563,1,1
10.139663437,1,0
10.139836500,1,1
10.139971437,1,0
10.140144500,1,1
10.140279438,1,0
10.140452500,1,1
10.140587438,1,0
10.140760500,1,1
10.140895437,1,0
10.141068500,1,1
10.141203375,1,0
10.141376437,1,1
10.141511375,1,0
10.141684438,1,1
10.141819375,1,0
10.141992438,1,1
10.142127312,1,0
10.142300437,1,1
10.142435375,1,0
10.142608375,1,1
10.142743313,1,0
10.142916375,1,1
10.143051313,1,0
10.143224375,1,1
10.143359312,1,0
10.143532375,1,1
10.143667250,1,0
10.143840313,1,1
10.143975250,1,0
10.144148313,1,1
10.144283250,1,0
10.144456312,1,1
10.144591250,1,0
10.144764312,1,1
10.144899250,1,0
10.145072250,1,1
10.145207188,1,0
10.145380250,1,1
10.145515187,1,0
10.145688250,1,1
10.145823187,1,0
10.145996250,1,1
10.146131125,1,0
10.146304188,1,1
10.146439125,1,0
10.146612188,1,1
10.146747125,1,0
10.146920187,1,1
10.147055125,1,0
10.147228187,1,1
10.147363125,1,0
10.147536188,1,1
10.147671063,1,0
10.147844125,1,1
10.147979062,1,0
10.148152125,1,1
10.148287062,1,0
10.148460125,1,1
10.148595063,1,0
10.148768125,1,1
10.148903000,1,0
10.149076063,1,1
10.149211000,1,0
10.149384062,1,1
10.149518875,1,0
10.149519062,1,1
10.149519125,1,0
10.149692062,1,1
10.149827000,1,0
10.150000063,1,1
10.150134938,1,0
10.150308000,1,1
10.150442937,1,0
10.150616000,1,1
10.150750875,1,0
10.150924000,1,1
10.151058938,1,0
10.151232000,1,1
10.151366875,1,0
10.151539938,1,1
10.151674875,1,0
10.151847937,1,1
10.151982875,1,0
10.152155937,1,1
10.152290875,1,0
10.152463938,1,1
10.152598875,1,0
10.152771875,1,1
10.152906812,1,0
10.153079875,1,1
10.153214812,1,0
10.153387875,1,1
10.153522812,1,0
10.153695875,1,1
10.153830750,1,0
10.154003812,1,1
10.154138750,1,0
10.154311812,1,1
10.154446750,1,0
10.154619813,1,1
10.154754750,1,0
10.154927813,1,1
10.155062750,1,0
10.155235813,1,1
10.155370687,1,0
10.155543750,1,1
10.155678688,1,0
10.155851750,1,1
10.155986688,1,0
10.156159750,1,1
10.156294688,1,0
10.156467750,1,1
10.156602625,1,0
10.156775687,1,1
10.156910625,1,0
10.157083688,1,1
10.157218625,1,0
10.157391688,1,1
10.157526625,1,0
10.157699687,1,1
10.157834562,1,0
10.158007625,1,1
10.158142563,1,0
10.158315625,1,1
10.158450563,1,0
10.158623625,1,1
10.158758562,1,0
10.158931625,1,1
10.159066500,1,0
10.159239562,1,1
10.159374500,1,0
10.159547563,1,1
10.159682500,1,0
10.159855563,1,1
10.159990500,1,0
10.160163562,1,1
10.160298437,1,0
10.160471500,1,1
10.160606438,1,0
10.160779500,1,1
10.160914438,1,0
10.161087500,1,1
10.161222437,1,0
10.161395500,1,1
10.161530375,1,0
10.161703500,1,1
10.161838375,1,0
10.162011438,1,1
10.162146375,1,0
10.162319438,1,1
10.162454375,1,0
10.162627437,1,1
10.162762375,1,0
10.162935437,1,1
10.163070313,1,0
10.163243375,1,1
10.163378313,1,0
10.163551375,1,1
10.163686312,1,0
10.163859375,1,1
10.163994312,1,0
10.164167375,1,1
10.164302250,1,0
10.164475313,1,1
10.164610250,1,0
10.164783312,1,1
10.164918250,1,0
10.165091312,1,1
10.165226250,1,0
10.165399312,1,1
10.165534250,1,0
10.165707250,1,1
10.165842187,1,0
10.166015250,1,1
10.166150187,1,0
10.166323250,1,1
10.166458187,1,0
10.166631250,1,1
10.166766125,1,0
10.166939188,1,1
10.167074125,1,0
10.167247187,1,1
10.167382125,1,0
10.167555187,1,1
10.167690125,1,0
10.167863188,1,1
10.167998125,1,0
10.168171188,1,1
10.168306062,1,0
10.168479125,1,1
10.168614062,1,0
10.168787125,1,1
10.168922063,1,0
10.169095125,1,1
10.169230000,1,0
10.169403125,1,1
10.169538062,1,0
10.169711062,1,1
10.169846000,1,0
10.170019062,1,1
10.170154000,1,0
10.170327063,1,1
10.170462000,1,0
10.170635063,1,1
10.170769937,1,0
10.170943000,1,1
10.667126687,0,1
10.667488813,0,0
10.667640563,0,1
10.667775437,0,0
10.667927250,0,1
10.668062125,0,0
10.668213875,0,1
10.668348750,0,0
10.668500500,0,1
10.668635438,0,0
10.668787187,0,1
10.668922063,0,0
10.669073813,0,1
10.669208750,0,0
10.669360500,0,1
10.669495375,0,0
10.669647125,0,1
10.669782063,0,0
10.669933813,0,1
10.670068688,0,0
10.670220437,0,1
10.670355437,0,0
10.670507125,0,1
10.670642000,0,0
10.670793750,0,1
10.670928688,0,0
10.671080375,0,1
10.671215312,0,0
10.671367062,0,1
10.671501938,0,0
10.671653687,0,1
10.671788625,0,0
10.671940375,0,1
10.672075250,0,0
10.672227000,0,1
10.672361937,0,0
10.672513688,0,1
10.672648562,0,0
10.672800312,0,1
10.672935188,0,0
10.673087000,0,1
10.673221875,0,0
10.673373625,0,1
10.673508500,0,0
10.673660250,0,1
10.673795187,0,0
10.673946938,0,1
10.674081813,0,0
10.674233562,0,1
10.674368500,0,0
10.674520250,0,1
10.674655125,0,0
10.674806875,0,1
10.674941812,0,0
10.675093563,0,1
10.675228437,0,0
10.675380188,0,1
10.675515063,0,0
10.675666875,0,1
10.675801750,0,0
10.675953500,0,1
10.676088375,0,0
10.676240125,0,1
10.676375063,0,0
10.676526813,0,1
10.676661687,0,0
10.676813437,0,1
10.676948375,0,0
10.677100125,0,1
