MID,LEFT,RIGHT
3371,3161,2649
3370,3161,2649
3368,3159,2650
3365,3156,2643
3366,3158,2637
3370,3156,2627
3376,3148,2614
3375,3142,2608
3379,3134,2605
3382,3132,2607
3383,3125,2612
3390,3127,2617
3394,3128,2629
3398,3128,2633
3405,3132,2639
3406,3133,2644
3410,3136,2645
3402,3142,2646
3398,3145,2645
3392,3149,2641
3387,3147,2637
3388,3147,2633
3387,3147,2632
3387,3149,2624
3386,3150,2622
3385,3149,2622
3389,3144,2620
3384,3143,2619
3385,3137,2620
3387,3139,2622
3386,3137,2627
3388,3133,2633
3389,3130,2641
3389,3124,2640
3394,3124,2640
3394,3123,2638
3402,3125,2638
3401,3129,2638
3405,3128,2637
3407,3132,2637
3405,3127,2637
3405,3126,2634
3407,3129,2635
3408,3133,2632
3417,3141,2634
3422,3141,2636
3434,3140,2636
3436,3145,2634
3443,3151,2629
3448,3164,2622
3446,3163,2619
3447,3158,2612
3444,3153,2607
3439,3142,2599
3443,3139,2597
3443,3133,2598
3451,3123,2602
3445,3123,2614
3444,3114,2624
3441,3112,2631
3438,3105,2638
3438,3106,2643
3435,3107,2647
3427,3107,2641
3429,3109,2640
3429,3108,2636
3439,3109,2636
3437,3117,2638
3439,3122,2640
3434,3131,2637
3430,3128,2635
3435,3129,2633
3437,3130,2637
3436,3128,2633
3436,3134,2639
3432,3134,2637
3435,3132,2635
3424,3135,2633
3421,3136,2628
3417,3146,2625
3409,3140,2623
3406,3139,2622
3402,3133,2623
3397,3122,2613
3403,3120,2606
3406,3118,2607
3414,3118,2604
3413,3125,2609
3416,3128,2613
3419,3135,2618
3419,3129,2625
3422,3129,2629
3419,3122,2641
3412,3115,2642
3412,3111,2644
3407,3106,2644
3411,3104,2642
3403,3107,2640
3403,3111,2641
3402,3115,2635
3398,3109,2634
3402,3107,2632
3401,3109,2634
3401,3110,2628
3408,3113,2629
3410,3110,2634
3420,3105,2629
3416,3104,2628
3417,3101,2626
3417,3105,2624
3415,3096,2628
3415,3090,2626
3413,3086,2629
3409,3080,2627
3409,3077,2633
3407,3070,2637
3413,3064,2639
3402,3066,2644
3398,3067,2648
3393,3075,2645
3389,3070,2645
3389,3073,2645
3386,3076,2649
3381,3082,2643
3381,3085,2644
3376,3087,2645
3381,3083,2645
3376,3078,2648
3378,3069,2650
3382,3068,2652
3384,3053,2656
3389,3046,2664
3392,3040,2672
3389,3033,2670
3395,3030,2669
3395,3028,2667
3401,3024,2666
3387,3027,2662
3388,3032,2659
3381,3038,2656
3376,3034,2660
3376,3035,2661
3373,3035,2670
3366,3035,2667
3365,3034,2673
3368,3028,2672
3372,3018,2672
3367,3014,2672
3370,3009,2670
3373,3016,2672
3377,3006,2666
3377,3003,2664
3378,3002,2666
3373,2998,2660
3374,3000,2658
3371,3000,2653
3374,3001,2655
3361,3001,2649
3356,3001,2649
3350,3011,2652
3346,3006,2660
3342,3010,2669
3337,3010,2681
3331,3007,2681
3334,3006,2682
3337,3001,2681
3349,2992,2680
3351,2993,2678
3355,2986,2676
3358,2987,2670
3359,2977,2671
3362,2974,2661
3362,2973,2661
3359,2969,2659
3362,2968,2665
3360,2964,2670
3362,2962,2673
3353,2972,2673
3350,2977,2672
3351,2984,2667
3350,2978,2670
3355,2972,2672
3358,2967,2681
3357,2966,2681
3370,2962,2684
3375,2960,2685
3386,2958,2683
3385,2962,2681
3384,2965,2676
3384,2974,2662
3379,2972,2663
3380,2970,2661
3379,2966,2662
3374,2956,2657
3373,2951,2654
3368,2945,2654
3372,2940,2649
3365,2943,2651
3363,2944,2653
3356,2954,2656
3351,2956,2662
3347,2963,2664
3343,2971,2668
3334,2975,2670
3333,2976,2675
3328,2970,2678
3327,2960,2684
3318,2958,2687
3316,2948,2687
3314,2946,2685
3314,2937,2680
3320,2932,2673
3327,2929,2669
3330,2922,2658
3340,2922,2649
3345,2924,2643
3353,2916,2641
3352,2918,2646
3353,2916,2650
3352,2920,2655
3347,2918,2659
3340,2920,2663
3333,2922,2669
3322,2922,2668
3318,2924,2668
3313,2923,2666
3315,2920,2662
3311,2922,2658
3313,2918,2653
3310,2916,2643
3311,2907,2637
3313,2900,2632
3314,2892,2631
3309,2886,2627
3313,2885,2623
3311,2876,2622
3312,2869,2621
3309,2873,2619
3310,2877,2618
